raceId;year;round;circuitId;name;date;time
316;1991;12;14;Italian Grand Prix;08.09.91;X
317;1991;13;27;Portuguese Grand Prix;22.09.91;X
318;1991;14;4;Spanish Grand Prix;29.09.91;X
319;1991;15;22;Japanese Grand Prix;20.10.91;X
320;1991;16;29;Australian Grand Prix;03.11.91;X
321;1990;1;33;United States Grand Prix;11.03.90;X
322;1990;2;18;Brazilian Grand Prix;25.03.90;X
323;1990;3;21;San Marino Grand Prix;13.05.90;X
324;1990;4;6;Monaco Grand Prix;27.05.90;X
325;1990;5;7;Canadian Grand Prix;10.06.90;X
326;1990;6;32;Mexican Grand Prix;24.06.90;X
327;1990;7;34;French Grand Prix;08.07.90;X
328;1990;8;9;British Grand Prix;15.07.90;X
329;1990;9;10;German Grand Prix;29.07.90;X
330;1990;10;11;Hungarian Grand Prix;12.08.90;X
331;1990;11;13;Belgian Grand Prix;26.08.90;X
332;1990;12;14;Italian Grand Prix;09.09.90;X
333;1990;13;27;Portuguese Grand Prix;23.09.90;X
334;1990;14;26;Spanish Grand Prix;30.09.90;X
335;1990;15;22;Japanese Grand Prix;21.10.90;X
336;1990;16;29;Australian Grand Prix;04.11.90;X
337;2010;1;3;Bahrain Grand Prix;14.03.10;12:00:00
338;2010;2;1;Australian Grand Prix;28.03.10;06:00:00
339;2010;3;2;Malaysian Grand Prix;04.04.10;08:00:00
340;2010;4;17;Chinese Grand Prix;18.04.10;06:00:00
341;2010;5;4;Spanish Grand Prix;09.05.10;12:00:00
342;2010;6;6;Monaco Grand Prix;16.05.10;12:00:00
343;2010;7;5;Turkish Grand Prix;30.05.10;11:00:00
344;2010;8;7;Canadian Grand Prix;13.06.10;16:00:00
345;2010;9;12;European Grand Prix;27.06.10;12:00:00
346;2010;10;9;British Grand Prix;11.07.10;12:00:00
347;2010;11;10;German Grand Prix;25.07.10;12:00:00
348;2010;12;11;Hungarian Grand Prix;01.08.10;12:00:00
349;2010;13;13;Belgian Grand Prix;29.08.10;12:00:00
350;2010;14;14;Italian Grand Prix;12.09.10;12:00:00
351;2010;15;15;Singapore Grand Prix;26.09.10;12:00:00
352;2010;16;22;Japanese Grand Prix;10.10.10;06:00:00
353;2010;17;35;Korean Grand Prix;24.10.10;05:00:00
354;2010;18;18;Brazilian Grand Prix;07.11.10;16:00:00
355;2010;19;24;Abu Dhabi Grand Prix;14.11.10;13:00:00
356;1989;1;36;Brazilian Grand Prix;26.03.89;X
357;1989;2;21;San Marino Grand Prix;23.04.89;X
358;1989;3;6;Monaco Grand Prix;07.05.89;X
359;1989;4;32;Mexican Grand Prix;28.05.89;X
360;1989;5;33;United States Grand Prix;04.06.89;X
361;1989;6;7;Canadian Grand Prix;18.06.89;X
362;1989;7;34;French Grand Prix;09.07.89;X
363;1989;8;9;British Grand Prix;16.07.89;X
364;1989;9;10;German Grand Prix;30.07.89;X
365;1989;10;11;Hungarian Grand Prix;13.08.89;X
366;1989;11;13;Belgian Grand Prix;27.08.89;X
367;1989;12;14;Italian Grand Prix;10.09.89;X
368;1989;13;27;Portuguese Grand Prix;24.09.89;X
369;1989;14;26;Spanish Grand Prix;01.10.89;X
370;1989;15;22;Japanese Grand Prix;22.10.89;X
371;1989;16;29;Australian Grand Prix;05.11.89;X
372;1988;1;36;Brazilian Grand Prix;03.04.88;X
373;1988;2;21;San Marino Grand Prix;01.05.88;X
374;1988;3;6;Monaco Grand Prix;15.05.88;X
